country,continent,consumption_kg,yearly_coffee_consumption_pcapita_kg,daily_cofee_consumption_pcapita_cup,coffe_drinking_year,lifetime_cup_consumption_cup,price_per_cup,total_lifetime_coffee_spending
Luxembourg,Europe,13440000,20.53,5.31,61,118227,3.6,425.618
Finland,Europe,80880000,14.58,3.77,61,83939,4.0,335.756
Sweden,Europe,106140000,10.0,2.59,62,58612,3.7,216.863
Norway,Europe,54360000,9.93,2.57,62,58159,4.4,255.9
Austria,Europe,70380000,7.86,2.03,61,45198,3.3,149.153
Denmark,Europe,46680000,7.9,2.04,62,44676,5.4,241.25
Switzerland,Europe,63600000,7.23,1.87,62,42318,5.0,211.591
Netherlands,Europe,121800000,6.91,1.79,61,39854,3.1,123.548
Greece,Europe,68340000,6.61,1.71,60,37449,3.1,116.092
Germany,Europe,520200000,6.25,1.61,60,35259,3.1,109.303
Canada,North America,235740000,6.08,1.57,61,34956,3.5,122.346
Belgium,Europe,71100000,6.08,1.57,60,34383,3.1,106.587
France,Europe,371520000,5.74,1.48,61,32952,3.1,102.152
Slovenia,Europe,12240000,5.77,1.49,60,32631,1.7,55.473
Italy,Europe,328140000,5.57,1.44,62,32587,1.54,50.184
Lebanon,Asia,33120000,6.19,1.6,54,31536,3.63,114.476
Brazil,South America,1320000000,6.1,1.58,54,31142,1.55,48.27
Cyprus,Europe,6900000,5.48,1.42,60,31098,3.17,98.581
Portugal,Europe,55860000,5.45,1.41,60,30879,1.66,51.259
Croatia,Europe,22860000,5.7,1.47,57,30583,1.72,52.603
Estonia,Europe,7380000,5.58,1.44,57,29959,3.05,91.376
Lithuania,Europe,15060000,5.54,1.43,55,28707,2.72,78.084
Czech Republic,Europe,50580000,4.82,1.25,58,26463,2.46,65.098
United States,North America,1599060000,4.7,1.22,58,25827,4.69,121.131
Australia,Oceania,116340000,4.4,1.14,62,25798,3.24,83.586
Ireland,Europe,22200000,4.39,1.13,61,25159,3.47,87.303
Spain,Europe,195180000,4.11,1.06,62,23988,1.92,46.057
Costa Rica,North America,21120000,4.05,1.05,58,22229,2.55,56.683
Japan,Asia,441300000,3.58,0.93,63,21385,3.1,66.295
Poland,Europe,150060000,3.66,0.95,57,19765,2.48,49.017
Latvia,Europe,6840000,3.74,0.97,54,19119,2.78,53.15
Bulgaria,Europe,25380000,3.8,0.98,51,18243,1.57,28.641
South Korea,Asia,148260000,2.86,0.74,62,16746,3.59,60.119
Romania,Europe,66480000,3.34,0.86,53,16637,2.01,33.44
Malta,Europe,1380000,2.58,0.67,62,15162,2.45,37.147
Algeria,Africa,126600000,2.78,0.72,55,14454,0.84,12.141
El Salvador,North America,17520000,2.75,0.71,51,13217,2.65,35.024
Hungary,Europe,25080000,2.47,0.64,55,12848,1.57,20.171
Venezuela,South America,76500000,2.65,0.69,51,12844,1.59,20.423
Slovakia,Europe,13620000,2.35,0.61,56,12468,2.15,26.807
Colombia,South America,121500000,2.33,0.6,56,12264,1.14,13.981
Ukraine,Europe,82740000,2.25,0.58,51,10797,1.13,12.2
Saudi Arabia,Asia,74460000,2.02,0.52,56,10629,3.82,40.602
Taiwan,Asia,42420000,1.77,0.46,59,9906,2.79,27.638
Dominican Republic,North America,22620000,2.0,0.52,52,9870,2.11,20.825
Russia,Europe,277860000,1.92,0.5,53,9673,2.91,28.147
Honduras,North America,21000000,1.98,0.51,51,9494,1.8,17.089
Vietnam,Asia,159000000,1.61,0.42,53,8125,1.99,16.169
Philippines,Asia,195000000,1.66,0.43,50,7848,2.47,19.383
Ethiopia,Africa,226860000,1.79,0.46,45,7556,0.78,5.893
Haiti,North America,20700000,1.77,0.46,43,7220,2.74,19.782
Turkey,Asia,102660000,1.2,0.31,57,6450,1.54,9.932
Thailand,Asia,84000000,1.17,0.3,58,6351,1.81,11.495
Morocco,Africa,45180000,1.19,0.31,53,5997,1.62,9.715
Guatemala,North America,23580000,1.3,0.34,48,5957,2.37,14.118
Mexico,North America,145500000,1.13,0.29,53,5610,2.55,14.306
Indonesia,Asia,288360000,1.04,0.27,49,4829,2.06,9.948
Argentina,South America,37260000,0.81,0.21,56,4292,1.76,7.555
Sudan,Africa,42780000,0.89,0.23,44,3694,1.8,6.649
Madagascar,Africa,22500000,0.74,0.19,44,3051,1.19,3.631
Egypt,Africa,74520000,0.66,0.17,49,3040,1.99,6.05
South Africa,Africa,39180000,0.65,0.17,41,2544,1.72,4.376
Peru,South America,15000000,0.44,0.11,55,2208,2.5,5.521
Uganda,Africa,15240000,0.31,0.08,42,1226,2.86,3.508
India,Asia,87000000,0.06,0.02,50,365,1.83,668.0
